n,k,primes,cpu_ms,gpu_ms,speedup,hash
128,1,49,286.872830,286.872830,1.0000,5c46aa0c7590c22380f3d59e2655d56cf872a1212bb336f494275ca973906af8
128,2,49,565.224814,565.224814,1.0000,692b85d6dfb35e2ee3fa7f9504c046ba73937c1da711caed84eb42d2445dea65
128,4,49,1126.676204,1126.676204,1.0000,b062be13e0b0f4b033c7bc891a4794e56c9638adce0be4c5b074827d66a8601e
128,8,49,2257.739075,2257.739075,1.0000,fa552731b30f5e936eee55a2703547cb650510b75a6b715ffc6125fa7bec07ab
128,16,49,4439.359798,4439.359798,1.0000,72f4e427771f6a5d9a2f05413a0dab9155d3ca2b3ad2fcf36b306a4c91386385
128,32,49,9279.629356,9279.629356,1.0000,a9ba688f2c2a32c926feed6d6785539b49a1b5aa97a66688954cd351290e23f1
128,64,49,18809.777740,18809.777740,1.0000,97a0ae80daad5ac94682d88f63e494cefafd49ea7e8d027cb917f2aa06e7f0c9
