n,k,primes,total_ms,residue_pct,solve_pct,crt_pct
32,16,13,8.706976,0.34,64.55,35.11
64,16,25,243.319348,0.04,94.51,5.45
128,16,49,4850.021596,0.00,98.80,1.20
192,16,72,26369.570106,0.00,99.50,0.50
256,16,96,82075.021511,0.00,99.68,0.32
