size,num_primes,total_ms,solve_ms,crt_ms
8,17,0.884118,0.511180,0.366519
16,34,16.161371,12.694867,3.428507
32,68,405.042850,372.868528,31.897717
64,136,12102.846854,11756.050572,344.501511
128,273,384786.531415,380682.637793,4075.941412
