n,primes,flint_ms,iml_ms,gpu_total_ms,gpu_compute_ms,speedup_flint,speedup_iml,best_cpu_ms,best_cpu_name,speedup_best
32,68,3.176299,6.553164,0.960034,0.699313,3.308527614646981,6.825970746869381,3.176299,FLINT,3.308527614646981
64,136,16.093623,15.086115,6.152205,2.143589,2.6159113683630504,2.4521476446249757,15.086115,IML,2.4521476446249757
128,273,103.229336,63.396185,50.032413,8.741795,2.063249198074856,1.2671022882706058,63.396185,IML,1.2671022882706058
256,546,986.555731,318.919995,337.659058,62.761584,2.921751120326824,0.9445030051585347,318.919995,IML,0.9445030051585347
