n,v1_ms,v2_ms,iml_ms,flint_ms,speedup_vs_iml,speedup_vs_flint,speedup_vs_v1
32,5.130371,7.127416,6.553164,3.176299,0.9194305481818376,0.44564523804980655,0.7198079921250563
64,22.482271,19.066338,15.086115,16.093623,0.7912434469587186,0.8440856865120089,1.1791604134994356
128,100.080449,75.308336,63.396185,103.229336,0.841821614542114,1.3707557686575362,1.3289425091001879
256,581.824466,393.36068,318.919995,986.555731,0.8107571783738018,2.508018165415008,1.4791119081856376
