size,num_primes,total_ms,solve_ms,crt_ms
8,17,8.272913,7.528251,0.729509
16,34,5.772684,2.353645,3.387360
32,68,17.662039,1.188679,16.362712
64,136,91.781579,5.247428,86.124825
128,273,546.291224,31.961759,512.092494
256,546,3750.560699,233.532550,3507.746618
512,1092,27333.750988,2121.633003,25159.437354
