size,num_primes,total_ms,solve_ms,crt_ms
8,17,0.115329,0.042745,0.005081
16,34,0.904970,0.396115,0.007232
32,68,9.350201,5.141264,0.014724
64,136,109.282103,75.770527,0.035691
128,273,1450.975278,1179.954940,0.089158
256,546,20630.852186,18507.314780,0.272393
512,1092,311429.065473,294184.064071,0.914481
