n,v1_gpu_ms,v2_gpu_ms,iml_ms,v1_vs_iml,v2_vs_iml,best_gpu_ms,best_vs_iml,winner
32,1.093102,6.166551,6.553164,5.99501601863321,1.0626951759581653,1.093102,5.99501601863321,V1 (32-bit)
64,5.89875,16.166475,15.086115,2.5575104895104896,0.9331728159663749,5.89875,2.5575104895104896,V1 (32-bit)
128,37.003824,52.004277,63.396185,1.7132333404244924,1.2190571363966853,37.003824,1.7132333404244924,V1 (32-bit)
256,300.986813,307.980307,318.919995,1.059581288034702,1.035520738668528,300.986813,1.059581288034702,V1 (32-bit)
