size,num_primes,total_ms,solve_ms,crt_ms
8,17,1.508580,0.812804,0.682656
16,34,15.419742,12.036632,3.340497
32,68,204.513868,188.808194,15.549885
64,136,2981.964301,2897.894033,83.463556
128,273,47840.377013,47334.555893,502.087442
256,546,764164.071270,760767.129694,3385.501023
