n,primes,prepare_ms,htod_ms,compute_ms,dtoh_ms,total_ms,transfer_pct,htod_mb,dtoh_mb
64,136,1.299696,0.264181,2.070488,0.056970,3.691755,8.70,2.66,0.53
128,273,21.876569,24.918241,8.821355,0.218351,55.835166,45.02,19.20,2.13
256,546,153.776443,120.818528,62.761284,0.640333,337.998308,35.93,145.03,8.53
512,1092,1094.384042,808.528333,810.220731,21.652518,2734.787434,30.36,1126.13,34.13
