size,num_primes,total_ms,solve_ms,crt_ms
8,17,9.166786,8.700995,0.453941
16,34,5.416897,1.996367,3.391117
32,68,34.443859,1.444890,32.800857
64,136,361.617558,9.242601,350.582728
128,273,4291.920039,72.101520,4195.532906
