n,v1_cpu_crt_ms,v1_gpu_crt_ms,v1_crt_speedup,v2_cpu_crt_ms,v2_gpu_crt_ms,v2_crt_speedup,v1_total_cpu_ms,v1_total_gpu_ms,v2_total_cpu_ms,v2_total_gpu_ms,iml_ms,v1_gpu_vs_iml
32,19.142832,1.539667,12.433098845399687,6.3501449999999995,2.020082,3.1435085308418174,20.235934,2.660028,12.516696,8.15807,6.553164,2.4635695564106843
64,92.535381,6.657848,13.898692340227653,40.811309,8.347674,4.8889437944030885,98.434131,12.089737,56.977784,24.185827,15.086115,1.2478447628761486
128,535.098791,27.074379,19.7640282349597,292.847123,32.712552,8.952133205627002,572.102615,71.432815,344.8514,82.500341,63.396185,0.8874938639895403
256,2872.053052,124.135006,23.136528079758584,2158.444637,147.172468,14.666089835498308,3173.039865,431.296948,2466.424944,445.231783,318.919995,0.7394441265557019
