size,num_primes,cpu_total_ms,gpu_cpucrt_ms,gpu_gpucrt_ms,speedup
32,68,211.476798,25.521518,2.754599,76.77
64,136,3115.539161,91.236107,10.880932,286.33
128,273,48603.525893,545.853900,56.945973,853.50
256,546,769383.044518,3687.271684,351.836845,2186.76
