num_primes,num_values,cpu_ms,gpu_ms,speedup,verified
32,256,3.836506,8.644625,0.44,true
64,256,8.327944,1.715327,4.86,true
64,1024,38.873168,2.061119,18.86,true
128,1024,86.624112,5.737233,15.10,true
128,4096,278.326771,8.679776,32.07,true
256,1024,183.604796,20.372333,9.01,true
256,4096,742.850937,27.186410,27.32,true
512,4096,2512.422236,89.036761,28.22,true
