matrix_size,entry_bits,cpu_time_s,gpu_time_s,speedup,num_primes,results_match,determinant_bits
48,20,0.07210493087768555,0.08439493179321289,0.8543751306578375,47,true,1018
64,20,0.23420703411102295,0.13773298263549805,1.7004426218724793,59,true,1375
80,20,0.5910179615020752,0.2810940742492676,2.102562862915333,71,true,1721
96,20,1.319430947303772,0.4787989854812622,2.755709571893836,83,true,2081
112,20,2.64690899848938,0.7717450857162476,3.42977110898324,96,true,2441
128,20,4.812994003295898,1.125923991203308,4.274705966743022,108,true,2806
160,20,13.350874066352844,2.3159990310668945,5.76462851981531,133,true,3530
192,20,31.223837018013,4.514635920524597,6.916136221763108,159,true,4265
