n,k,primes,total_ms,residue_pct,solve_pct,crt_pct
32,16,13,5.706125,0.28,33.17,66.54
64,16,25,95.773668,0.05,82.69,17.26
128,16,49,1715.017875,0.01,95.79,4.20
192,16,72,9219.771918,0.00,98.10,1.89
256,16,96,29470.249418,0.00,98.86,1.14
